algorithm,normalized_frequency,run_id,actual_f_drift,f_conv,n_conv,rms_tracking_error,p_in_band,mean_rms_tracking_error,std_rms_tracking_error,sem_rms_tracking_error,mean_p_in_band,std_p_in_band,n_runs,drift_amplitude,seed,phase,burn_in_epochs
Bayesian/TUrBO,0.5,0,0.08333333333333333,0.16666666666666666,6,0.03712251148263921,0.49404761904761907,0.037178234961544106,6.890120258796504e-05,1.2579580965553927e-05,0.3763888888888889,0.060555172663658466,30,0.025,221248,4.064269234049636,12
Bayesian/TUrBO,0.5,1,0.08333333333333333,0.16666666666666666,6,0.03708450458523819,0.4642857142857143,0.037178234961544106,6.890120258796504e-05,1.2579580965553927e-05,0.3763888888888889,0.060555172663658466,30,0.025,614340,2.6176137696471296,12
Bayesian/TUrBO,0.5,2,0.08333333333333333,0.16666666666666666,6,0.0371696526516052,0.35119047619047616,0.037178234961544106,6.890120258796504e-05,1.2579580965553927e-05,0.3763888888888889,0.060555172663658466,30,0.025,902129,0.334361049452715,12
Bayesian/TUrBO,0.5,3,0.08333333333333333,0.16666666666666666,6,0.03718411462861193,0.3333333333333333,0.037178234961544106,6.890120258796504e-05,1.2579580965553927e-05,0.3763888888888889,0.060555172663658466,30,0.025,937885,1.7786981458530249,12
Bayesian/TUrBO,0.5,4,0.08333333333333333,0.16666666666666666,6,0.037176076434760875,0.34523809523809523,0.037178234961544106,6.890120258796504e-05,1.2579580965553927e-05,0.3763888888888889,0.060555172663658466,30,0.025,284559,6.093811754168201,12
Bayesian/TUrBO,0.5,5,0.08333333333333333,0.16666666666666666,6,0.03717016240636768,0.4880952380952381,0.037178234961544106,6.890120258796504e-05,1.2579580965553927e-05,0.3763888888888889,0.060555172663658466,30,0.025,999392,4.614283397824896,12
Bayesian/TUrBO,0.5,6,0.08333333333333333,0.16666666666666666,6,0.0373283758929204,0.47619047619047616,0.037178234961544106,6.890120258796504e-05,1.2579580965553927e-05,0.3763888888888889,0.060555172663658466,30,0.025,12066,3.1396117329688082,12
Bayesian/TUrBO,0.5,7,0.08333333333333333,0.16666666666666666,6,0.03719416113559748,0.35714285714285715,0.037178234961544106,6.890120258796504e-05,1.2579580965553927e-05,0.3763888888888889,0.060555172663658466,30,0.025,526806,3.4982918771590628,12
Bayesian/TUrBO,0.5,8,0.08333333333333333,0.16666666666666666,6,0.03718662475437798,0.3333333333333333,0.037178234961544106,6.890120258796504e-05,1.2579580965553927e-05,0.3763888888888889,0.060555172663658466,30,0.025,964493,2.1643414889794856,12
Bayesian/TUrBO,0.5,9,0.08333333333333333,0.16666666666666666,6,0.03705165913937851,0.49404761904761907,0.037178234961544106,6.890120258796504e-05,1.2579580965553927e-05,0.3763888888888889,0.060555172663658466,30,0.025,891638,5.647772169795311,12
Bayesian/TUrBO,0.5,10,0.08333333333333333,0.16666666666666666,6,0.03718462264457799,0.5,0.037178234961544106,6.890120258796504e-05,1.2579580965553927e-05,0.3763888888888889,0.060555172663658466,30,0.025,366855,3.598984792299494,12
Bayesian/TUrBO,0.5,11,0.08333333333333333,0.16666666666666666,6,0.03719164494368925,0.3630952380952381,0.037178234961544106,6.890120258796504e-05,1.2579580965553927e-05,0.3763888888888889,0.060555172663658466,30,0.025,333164,1.9408040406254568,12
Bayesian/TUrBO,0.5,12,0.08333333333333333,0.16666666666666666,6,0.03724890094544822,0.40476190476190477,0.037178234961544106,6.890120258796504e-05,1.2579580965553927e-05,0.3763888888888889,0.060555172663658466,30,0.025,170996,5.094044824494936,12
Bayesian/TUrBO,0.5,13,0.08333333333333333,0.16666666666666666,6,0.03725067759339717,0.3333333333333333,0.037178234961544106,6.890120258796504e-05,1.2579580965553927e-05,0.3763888888888889,0.060555172663658466,30,0.025,71904,3.3336002937771947,12
Bayesian/TUrBO,0.5,14,0.08333333333333333,0.16666666666666666,6,0.0371907190691784,0.3333333333333333,0.037178234961544106,6.890120258796504e-05,1.2579580965553927e-05,0.3763888888888889,0.060555172663658466,30,0.025,325630,3.9802329923722115,12
Bayesian/TUrBO,0.5,15,0.08333333333333333,0.16666666666666666,6,0.037054359077714934,0.3333333333333333,0.037178234961544106,6.890120258796504e-05,1.2579580965553927e-05,0.3763888888888889,0.060555172663658466,30,0.025,28261,1.8639405551387866,12
Bayesian/TUrBO,0.5,16,0.08333333333333333,0.16666666666666666,6,0.03721518846166365,0.3333333333333333,0.037178234961544106,6.890120258796504e-05,1.2579580965553927e-05,0.3763888888888889,0.060555172663658466,30,0.025,445543,0.3022709211798069,12
Bayesian/TUrBO,0.5,17,0.08333333333333333,0.16666666666666666,6,0.03720903587635454,0.3333333333333333,0.037178234961544106,6.890120258796504e-05,1.2579580965553927e-05,0.3763888888888889,0.060555172663658466,30,0.025,157639,1.869129767549331,12
Bayesian/TUrBO,0.5,18,0.08333333333333333,0.16666666666666666,6,0.037159577323814225,0.3333333333333333,0.037178234961544106,6.890120258796504e-05,1.2579580965553927e-05,0.3763888888888889,0.060555172663658466,30,0.025,324640,5.862170886909366,12
Bayesian/TUrBO,0.5,19,0.08333333333333333,0.16666666666666666,6,0.037241892859380406,0.3333333333333333,0.037178234961544106,6.890120258796504e-05,1.2579580965553927e-05,0.3763888888888889,0.060555172663658466,30,0.025,712635,4.504673176344257,12
Bayesian/TUrBO,0.5,20,0.08333333333333333,0.16666666666666666,6,0.037223552829005066,0.35119047619047616,0.037178234961544106,6.890120258796504e-05,1.2579580965553927e-05,0.3763888888888889,0.060555172663658466,30,0.025,624635,4.773310684880804,12
Bayesian/TUrBO,0.5,21,0.08333333333333333,0.16666666666666666,6,0.037224681953502085,0.34523809523809523,0.037178234961544106,6.890120258796504e-05,1.2579580965553927e-05,0.3763888888888889,0.060555172663658466,30,0.025,844614,6.096536741498065,12
Bayesian/TUrBO,0.5,22,0.08333333333333333,0.16666666666666666,6,0.03720202523179927,0.3333333333333333,0.037178234961544106,6.890120258796504e-05,1.2579580965553927e-05,0.3763888888888889,0.060555172663658466,30,0.025,892471,0.20896807389054217,12
Bayesian/TUrBO,0.5,23,0.08333333333333333,0.16666666666666666,6,0.03726368016859958,0.39285714285714285,0.037178234961544106,6.890120258796504e-05,1.2579580965553927e-05,0.3763888888888889,0.060555172663658466,30,0.025,388092,1.0816789279367147,12
